"","X10.minutes","X30.minutes"
"CEEMD--CORR--STACK",139.876948439753,162.06482204679
"CEEMD--PCA--STACK",152.73605628512,179.355292067759
"CEEMD--BC--STACK",142.230172103706,164.38774615682
"CEEMD--KNN",179.257763751255,178.52315746912
"CEEMD--SVRR",175.876924067987,182.528736857926
"CEEMD--PLS",157.455824495432,186.891623492424
"CEEMD--RF",141.850905021376,164.920919947223
"CORR--STACK",186.272617540255,192.78676174883
"PCA--STACK",197.312671473525,196.916216116838
"BC--STACK",185.00023845721,200.925156926937
"KNN",200.279353110103,215.773071524206
"SVRR",177.795824738869,179.035340937699
"PLS",204.548477156181,220.997431248256
"RF",177.539679342508,180.327474101461
