"","10 min ahead","20 min ahead","30 min ahead"
"CEEMD--CORR--STACK",94.5126071545865,143.361182446151,144.648680294057
"CEEMD--PCA--STACK",200.147646467598,210.257255336399,192.958424084437
"CEEMD--BC--STACK",104.847572244829,145.087809622886,150.441475446403
"CEEMD--KNN",237.067218398638,235.79660496904,239.219302457752
"CEEMD--SVRR",271.814109719953,274.354084688266,271.904635216932
"CEEMD--PLS",187.0876979766,260.11834177515,257.750663705102
"CEEMD--RF",139.586292300496,156.276590154669,162.412740014084
"CORR--STACK",245.536807942708,233.525741035008,227.963051065189
"PCA--STACK",305.588873692186,303.177511917073,297.06574873099
"BC--STACK",264.738840907496,228.444361280949,220.423563491565
"KNN",230.498249417293,245.80580545022,253.674311785664
"SVRR",265.029645999011,265.064089483714,265.380577336813
"PLS",205.250982903727,219.66501059857,229.307538471128
"RF",239.76430947502,236.451839617741,236.703653429368
