dataset,model,forecasting_horizon,smape,rrmse
dataset 1,CORR,10 minutes,0.0879,0.1095
dataset 1,PCA,10 minutes,0.1029,0.1250
dataset 1,BC,10 minutes,0.0898,0.1126
dataset 1,CORR,30 minutes,0.1035,0.1267
dataset 1,PCA,30 minutes,0.1188,0.1407
dataset 1,BC,30 minutes,0.1052,0.1289
dataset 2,CORR,10 minutes,0.0569,0.0656
dataset 2,PCA,10 minutes,0.1237,0.1462
dataset 2,BC,10 minutes,0.0638,0.0716
dataset 2,CORR,30 minutes,0.0868,0.0992
dataset 2,PCA,30 minutes,0.1202,0.1390
dataset 2,BC,30 minutes,0.0904,0.1036
dataset 3,CORR,10 minutes,0.0560,0.0633
dataset 3,PCA,10 minutes,0.0853,0.1001
dataset 3,BC,10 minutes,0.0638,0.0726
dataset 3,CORR,30 minutes,0.0752,0.0878
dataset 3,PCA,30 minutes,0.0927,0.1083
dataset 3,BC,30 minutes,0.0828,0.0968
