Models,day1.1,day1.2,day2.1,day2.2,day3.1,day3.2
CEEMD.CORR.STACK,139.8769484397529,162.06482204679025,94.51260715458619,144.6486802940579,104.27731533966438,147.37749091303868
CEEMD.PCA.STACK,152.7360562851202,179.35529206775905,200.14764646759787,192.95842408443718,162.17137178804794,171.32693913808984
CEEMD.BC.STACK,142.2301721037065,164.3877461568195,104.84757224482881,150.44147544640316,114.5827502220947,162.63648324714808
CEEMD.KNN,179.25776375125508,178.52315746912092,237.0672183986383,239.2193024577528,229.74918063823617,229.93373790770042
CEEMD.SVRR,175.8769240679878,182.52873685792693,271.8141097199529,271.9046352169318,226.097228250206,246.7360913583656
CEEMD.PLS,157.4558244954321,186.89162349242366,187.08769797660077,257.7506637051017,195.80964741106564,260.856735119746
CEEMD.RF,141.85090502137604,164.92091994722333,139.58629230049596,162.41274001408402,127.13275209405427,156.40467049715744
CORR.STACK,186.27261754025514,192.78676174882906,245.5368079427072,227.9630510651889,214.0224666990329,208.24838991230484
PCA.STACK,197.31267147352486,196.9162161168388,305.5888736921858,297.06574873099015,225.4465677507191,215.59622048993324
BC.STACK,185.00023845721057,200.92515692693752,264.73884090749556,220.42356349156464,208.9331225675617,212.1113767689507
KNN,200.27935311010253,215.77307152420576,230.49824941729318,253.67431178566414,188.81056182932215,220.9427549847596
SVRR,177.7958247388688,179.0353409376988,265.0296459990117,265.38057733681353,230.49613772640512,220.1819679819046
PLS,204.54847715618087,220.99743124825682,205.25098290372745,229.30753847112854,175.47412858027397,218.45229932987465
RF,177.5396793425083,180.32747410146098,239.76430947501984,236.70365342936788,192.90457131941668,206.35527064889462
