"model","FH","MAE","MAPE","RMSE"
"BoxCox","One-steps",43.1903397696359,0.0275152183313555,58.8451586050987
"corr","One-steps",42.9910231211829,0.0273638917050398,58.9357934694422
"pca","One-steps",44.9921004522414,0.0286259282914418,61.5256285215116
"knn","One-steps",67.6341975120776,0.043238599110523,90.1598679918668
"pls","One-steps",53.8934573479669,0.0337785536144658,70.945605391782
"ridge","One-steps",50.5375434227461,0.0311097633730102,65.0852947414069
"svmLinear2","One-steps",46.8874911140336,0.0291358198764697,61.2113269394172
"BoxCox","Two-steps",57.1392887176029,0.0365367893290258,80.4276833945955
"corr","Two-steps",57.4482096233065,0.0365730244732733,80.2923072917234
"pca","Two-steps",60.258465261308,0.0386280062066423,84.2390884942868
"knn","Two-steps",76.5738844274614,0.0489996816338687,102.553651331567
"pls","Two-steps",68.0375680652443,0.0427140612859728,90.4017337106743
"ridge","Two-steps",205.240579470543,0.106713451102305,320.624217824525
"svmLinear2","Two-steps",82.6145216144225,0.0490726146228633,110.44374835076
"BoxCox","Three-steps",72.212274908641,0.0459716025608057,96.9198780638366
"corr","Three-steps",72.512212517148,0.0464213079984712,98.2977158331228
"pca","Three-steps",67.0280414520748,0.0429412072091815,92.106558928304
"knn","Three-steps",84.4601729311297,0.0546944936026411,114.581922127072
"pls","Three-steps",77.1737862816078,0.0484262097341654,101.86116790082
"ridge","Three-steps",1656.42301847318,Inf,3723.23077821317
"svmLinear2","Three-steps",152.197040549364,0.0826418883442843,232.882581498505
