"model","FH","MAE","MAPE","RMSE"
"BoxCox","One-steps",159.525821722121,0.128535747310741,215.906015615338
"corr","One-steps",160.470480921912,0.127898465721689,216.091224092784
"pca","One-steps",157.493170214456,0.126607717904898,212.576097802479
"knn","One-steps",163.345409451659,0.131257219646033,218.680483486802
"pls","One-steps",149.42705573307,0.12363346808144,200.720125164545
"ridge","One-steps",149.390935227884,0.124014132997333,200.702675591556
"svmLinear2","One-steps",148.789128166116,0.125365507319002,202.836278378946
"BoxCox","Two-steps",176.980287243071,0.139687358949868,238.147245355051
"corr","Two-steps",178.851163095141,0.141090038783147,240.795451294568
"pca","Two-steps",177.500573415605,0.140598085117576,238.738788281898
"knn","Two-steps",176.677901034151,0.141140515651809,236.805596432653
"pls","Two-steps",161.270224974814,0.132631460904393,218.068312726016
"ridge","Two-steps",161.259906147003,0.132972359906618,217.809100585143
"svmLinear2","Two-steps",160.112866903331,0.135145276370988,221.763253702343
"BoxCox","Three-steps",194.552415744842,0.152986832943475,258.72428967399
"corr","Three-steps",193.004389093793,0.151523029433414,257.818790962385
"pca","Three-steps",191.397733724685,0.151037883447134,254.910000844256
"knn","Three-steps",191.751255862193,0.152237889080176,254.615673416457
"pls","Three-steps",172.479934456334,0.139449370262063,229.207618492188
"ridge","Three-steps",171.955494722031,0.13937860804058,228.526697019608
"svmLinear2","Three-steps",172.694667059545,0.141501487929916,233.65817031919
